Datetime,close,BB_Upper,BB_Lower,SMA5,SMA_9,SMA_20,SMA34,SMA_50,SMA_100,MACD,AO,RSI,IFT_RSI,SAR,ROC,high,low
2024-06-27 14:30:00,544.72,546.06,545.17,545.3,545.59,545.74,545.38,545.07,544.75,0.02,-0.08000000000004093,42.18,0.01,546.43,-0.02,545.09,544.61
2024-06-27 14:45:00,545.39,546.01,545.13,545.15,545.53,545.7,545.4,545.08,544.76,0.01,-0.25,49.79,-0.07,546.36,0.03,545.48,544.68
2024-06-27 15:00:00,545.67,545.97,545.11,545.13,545.53,545.64,545.42,545.1,544.78,0.03,-0.2899999999999636,52.6,-0.37,546.29,0.01,545.69,545.23
2024-06-27 15:15:00,545.77,545.99,545.12,545.26,545.51,545.6,545.46,545.12,544.78,0.05,-0.20000000000004547,53.55,-0.74,546.22,-0.02,545.81,545.3
2024-06-27 15:30:00,545.69,545.95,545.11,545.45,545.44,545.56,545.49,545.16,544.77,0.06,-0.03999999999996362,52.66,-0.94,546.16,-0.05,545.92,545.54
2024-06-27 15:45:00,546.34,545.96,545.11,545.77,545.47,545.58,545.54,545.21,544.78,0.12,0.2300000000000182,59.05,-0.73,544.61,0.12,546.4,545.18
2024-06-28 09:30:00,547.88,546.44,544.98,546.27,545.7,545.69,545.63,545.27,544.8,0.29,0.6399999999999864,69.55,0.18,544.61,0.36,547.94,546.67
2024-06-28 09:45:00,548.05,546.88,545.0,546.75,546.03,545.83,545.73,545.36,544.83,0.43,1.0199999999999818,70.48,0.58,544.74,0.32,548.26,547.66
2024-06-28 10:00:00,550.19,547.84,545.06,547.63,546.63,546.1,545.89,545.48,544.87,0.71,1.740000000000009,78.91,0.75,544.95,0.75,550.28,548.04
2024-06-28 10:15:00,549.53,548.42,545.42,548.4,547.17,546.32,546.04,545.59,544.9,0.86,2.3600000000000136,72.02,0.79,545.38,0.69,550.27,549.35
2024-06-28 10:30:00,549.46,548.88,545.91,549.02,547.62,546.51,546.19,545.71,544.94,0.97,2.8299999999999272,71.35,0.8,545.77,0.8,550.07,549.02
2024-06-28 10:45:00,548.63,549.12,546.32,549.17,547.95,546.65,546.31,545.8,544.96,0.98,2.8600000000000136,63.4,0.75,546.13,0.71,549.76,548.15
2024-06-28 11:00:00,547.64,549.19,546.64,549.09,548.16,546.73,546.39,545.87,544.98,0.89,2.7000000000000455,55.47,0.61,546.46,0.54,548.63,547.25
2024-06-28 11:15:00,547.73,549.24,546.99,548.6,548.38,546.83,546.45,545.92,545.0,0.82,2.1499999999999773,56.01,0.35,546.77,0.43,548.22,547.34
2024-06-28 11:30:00,547.81,549.23,547.42,548.25,548.55,546.93,546.49,545.97,545.02,0.77,1.759999999999991,56.51,-0.06,547.05,0.39,548.27,547.61
2024-06-28 11:45:00,547.72,549.21,547.72,547.91,548.53,547.0,546.53,546.02,545.04,0.7,1.3799999999999955,55.74,-0.66,547.31,0.36,547.99,547.54
2024-06-28 12:00:00,546.77,549.21,547.5,547.53,548.39,547.03,546.53,546.07,545.07,0.57,1.0,48.24,-0.87,550.28,0.2,547.83,546.49
2024-06-28 12:15:00,546.97,549.17,547.32,547.4,548.03,547.09,546.54,546.11,545.1,0.48,0.8600000000000136,49.76,-0.32,550.28,0.12,547.08,546.21
2024-06-28 12:30:00,546.14,548.72,546.96,547.08,547.65,547.14,546.53,546.13,545.12,0.33,0.5500000000000682,43.94,0.22,550.12,-0.32,547.13,545.49
2024-06-28 12:45:00,546.33,548.34,546.7,546.79,547.3,547.22,546.54,546.17,545.14,0.23,0.25,45.51,0.41,549.84,-0.31,546.4,545.75
2024-06-28 13:00:00,546.83,547.88,546.64,546.61,547.1,547.33,546.58,546.22,545.17,0.19,0.029999999999972715,49.52,0.34,549.58,-0.61,546.9,546.0
2024-06-28 13:15:00,546.28,547.55,546.5,546.51,546.95,547.37,546.61,546.24,545.2,0.11,-0.10000000000002274,45.55,0.38,549.33,-0.59,546.99,546.28
2024-06-28 13:30:00,545.97,547.41,546.3,546.31,546.76,547.39,546.64,546.27,545.22,0.02,-0.3300000000000409,43.44,0.45,549.1,-0.64,546.47,545.86
2024-06-28 13:45:00,546.03,547.22,546.15,546.29,546.56,547.4,546.67,546.3,545.24,-0.04,-0.37999999999999545,43.98,0.48,548.89,-0.47,546.17,545.85
2024-06-28 14:00:00,546.47,546.98,546.12,546.32,546.42,547.44,546.69,546.33,545.26,-0.06,-0.37000000000000455,47.92,0.33,548.68,-0.21,546.48,545.81
